timestamp,no
2016-01-21 15:38:36,"0,1"
2016-01-21 15:38:59,"0,2"
2016-01-21 15:39:21,"0,2"
2016-01-21 15:39:43,"0,1"
2016-01-21 15:40:05,0
2016-01-21 15:40:28,"0,1"
2016-01-21 15:40:50,"5,5"
2016-01-21 15:41:12,"10,5"
2016-01-21 15:41:35,"15,7"
2016-01-21 15:41:57,"21,1"
2016-01-21 15:42:19,"27,7"
2016-01-21 15:42:42,34
2016-01-21 15:43:04,"37,5"
2016-01-21 15:43:27,"39,7"
2016-01-21 15:43:49,"41,2"
2016-01-21 15:44:11,"41,5"
2016-01-21 15:44:33,"42,3"
2016-01-21 15:44:56,"42,4"
2016-01-21 15:45:18,"42,5"
2016-01-21 15:45:40,"42,4"
2016-01-21 15:46:02,"42,2"
2016-01-21 15:46:25,"60,9"
2016-01-21 15:46:47,"82,5"
2016-01-21 15:47:10,"80,3"
2016-01-21 15:47:32,"78,9"
2016-01-21 15:47:54,"77,8"
2016-01-21 15:48:16,"76,7"
2016-01-21 15:48:38,"76,1"
2016-01-21 15:49:01,75
2016-01-21 15:49:23,"74,9"
2016-01-21 15:49:45,74
2016-01-21 15:50:08,"74,8"
2016-01-21 15:50:32,"74,7"
2016-01-21 15:50:54,"74,6"
2016-01-21 15:51:16,"74,6"
2016-01-21 15:51:38,"74,5"
2016-01-21 15:52:00,"108,2"
2016-01-21 15:52:23,"111,7"
2016-01-21 15:52:45,"110,7"
2016-01-21 15:53:07,"111,1"
2016-01-21 15:53:30,"111,4"
2016-01-21 15:53:52,"111,3"
2016-01-21 15:54:15,112
2016-01-21 15:54:37,"112,6"
2016-01-21 15:54:59,"112,9"
2016-01-21 15:55:21,"113,2"
2016-01-21 15:55:44,"113,1"
2016-01-21 15:56:06,"113,8"
2016-01-21 15:56:28,114
2016-01-21 15:56:50,"114,1"
2016-01-21 15:57:12,"114,1"
2016-01-21 15:57:35,"114,8"
2016-01-21 15:57:58,"87,5"
2016-01-21 15:58:20,"114,8"
2016-01-21 15:58:42,"115,1"
2016-01-21 15:59:04,"115,4"
2016-01-21 15:59:26,"115,7"
2016-01-21 15:59:49,"115,7"
2016-01-21 16:00:11,"116,2"
2016-01-21 16:00:34,"116,2"
2016-01-21 16:00:56,"116,7"
2016-01-21 16:01:19,"130,4"
2016-01-21 16:01:41,"155,1"
2016-01-21 16:02:03,"155,4"
2016-01-21 16:02:26,"155,7"
2016-01-21 16:02:49,"155,7"
2016-01-21 16:03:11,"157,1"
2016-01-21 16:03:33,"157,2"
2016-01-21 16:03:55,"157,4"
2016-01-21 16:04:18,"177,3"
2016-01-21 16:04:40,"198,5"
2016-01-21 16:05:03,"197,5"
2016-01-21 16:05:25,198
2016-01-21 16:05:47,"198,9"
2016-01-21 16:06:09,"199,7"
2016-01-21 16:06:32,200
2016-01-21 16:06:54,"200,4"
2016-01-21 16:07:16,"201,2"
2016-01-21 16:07:38,"200,8"
2016-01-21 16:08:01,"201,4"
2016-01-21 16:08:23,201
2016-01-21 16:08:46,"202,1"
2016-01-21 16:09:08,"202,5"
2016-01-21 16:09:31,"203,1"
2016-01-21 16:09:53,201
2016-01-21 16:10:15,203
2016-01-21 16:10:38,"204,4"
2016-01-21 16:11:00,"204,9"
2016-01-21 16:11:22,"204,1"
2016-01-21 16:11:44,"204,2"
2016-01-21 16:12:06,"204,6"
2016-01-21 16:12:29,"204,9"
2016-01-21 16:12:52,"205,1"
2016-01-21 16:13:15,"205,1"
2016-01-21 16:13:37,"205,2"
2016-01-21 16:13:59,"163,3"
2016-01-21 16:14:21,"163,6"
2016-01-21 16:14:44,"164,1"
2016-01-21 16:15:06,"164,5"
2016-01-21 16:15:28,"163,4"
2016-01-21 16:15:51,"163,4"
2016-01-21 16:16:14,"163,9"
2016-01-21 16:16:36,"164,6"
2016-01-21 16:16:58,"162,6"
2016-01-21 16:17:21,"163,5"
2016-01-21 16:17:44,"164,2"
2016-01-21 16:18:06,"163,4"
2016-01-21 16:18:29,"164,5"
2016-01-21 16:18:52,"161,2"
2016-01-21 16:19:14,"122,1"
2016-01-21 16:19:37,"122,1"
2016-01-21 16:20:00,"123,2"
2016-01-21 16:20:22,"121,7"
2016-01-21 16:20:44,"122,6"
2016-01-21 16:21:07,122
2016-01-21 16:21:29,"122,6"
2016-01-21 16:21:52,"105,4"
2016-01-21 16:22:14,"81,3"
2016-01-21 16:22:36,"81,8"
2016-01-21 16:22:59,"81,5"
2016-01-21 16:23:21,"81,8"
2016-01-21 16:23:44,"82,1"
2016-01-21 16:24:06,"81,6"
2016-01-21 16:24:29,"81,3"
2016-01-21 16:24:51,82
2016-01-21 16:25:13,"81,2"
2016-01-21 16:25:36,81
2016-01-21 16:25:59,"81,5"
2016-01-21 16:26:21,"81,6"
2016-01-21 16:26:44,"80,9"
2016-01-21 16:27:06,"80,4"
2016-01-21 16:27:30,"80,7"
2016-01-21 16:27:52,81
2016-01-21 16:28:15,"81,5"
2016-01-21 16:28:37,"80,6"
2016-01-21 16:29:00,"80,6"
2016-01-21 16:29:22,"80,7"
2016-01-21 16:29:45,"80,8"
2016-01-21 16:30:07,"81,3"
2016-01-21 16:30:29,"80,4"
2016-01-21 16:30:52,"80,2"
2016-01-21 16:31:15,"81,1"
2016-01-21 16:31:38,"80,6"
2016-01-21 16:32:00,"79,8"
2016-01-21 16:32:22,"80,6"
2016-01-21 16:32:45,"80,3"
2016-01-21 16:33:07,"79,5"
2016-01-21 16:33:30,81
2016-01-21 16:33:52,"80,2"
2016-01-21 16:34:14,"80,4"
2016-01-21 16:34:37,80
2016-01-21 16:35:00,"46,9"
2016-01-21 16:35:22,"39,8"
2016-01-21 16:35:45,"40,4"
2016-01-21 16:36:07,"40,8"
2016-01-21 16:36:29,"40,7"
2016-01-21 16:36:52,"40,6"
2016-01-21 16:37:14,"40,5"
2016-01-21 16:37:36,"40,6"
2016-01-21 16:37:59,"40,2"
2016-01-21 16:38:21,"40,2"
2016-01-21 16:38:43,"27,6"
2016-01-21 16:39:06,"27,6"
2016-01-21 16:39:28,"28,1"
2016-01-21 16:39:51,"27,9"
2016-01-21 16:40:13,"27,9"
2016-01-21 16:40:35,"28,1"
2016-01-21 16:40:58,"19,9"
2016-01-21 16:41:20,"19,9"
2016-01-21 16:41:42,"19,8"
2016-01-21 16:42:05,20
2016-01-21 16:42:28,"19,7"
2016-01-21 16:42:51,"19,9"
2016-01-21 16:43:14,"9,8"
2016-01-21 16:43:36,"9,4"
2016-01-21 16:43:58,"9,3"
2016-01-21 16:44:20,"9,5"
2016-01-21 16:44:43,"9,5"
2016-01-21 16:45:05,"9,6"
2016-01-21 16:45:27,"4,3"
2016-01-21 16:45:50,"3,8"
2016-01-21 16:46:13,"3,5"
2016-01-21 16:46:35,"3,5"
2016-01-21 16:47:00,"3,6"
2016-01-21 16:47:22,"3,4"
2016-01-21 16:47:46,"2,4"
2016-01-21 16:48:08,"1,3"
2016-01-21 16:48:34,"1,1"
2016-01-21 16:48:57,"0,8"
2016-01-21 16:49:19,"0,9"
2016-01-21 16:49:41,"0,8"
2016-01-21 16:50:04,"0,7"
2016-01-21 16:50:26,"0,6"
2016-01-21 16:50:49,"0,5"
2016-01-21 16:51:11,"0,4"
2016-01-21 16:51:34,"0,6"
2016-01-21 16:51:56,"0,4"
2016-01-21 16:52:19,"0,4"
2016-01-21 16:52:41,"0,3"
2016-01-21 16:53:04,"0,4"
2016-01-21 16:53:26,"0,3"
2016-01-21 16:53:49,"0,2"
2016-01-21 16:54:11,"0,3"
2016-01-21 16:54:34,"0,3"
2016-01-21 16:54:40,"0,3"
